ID,TITLE,DESCRIPTION,IMAGEURL,CATEGORY,BRAND
"0246003235","SAMSUNG Evo Plus 64 GB MicroSDXC Class 10 80 MB/s Memory Card","Brand SAMSUNG Speed 80 MB/s Read Speed, 20 Write Speed Card Class Class 10 Memory Card Type MicroSDXC Card Type MicroSDHC Model ID MB-MC64DA/IN Memory size 64 GB POWER &amp; OPERATING REQUIREMENTS Power Requirement 2.7 - 3.6 V Storage Humidity 93 % Operating Temperature -25  C - 85  C","https://images-na.ssl-images-amazon.com/images/I/412YwzO-5CL._SS40_.jpg","Computers","Samsung"
"0285175270","BOOX Max Carta Ereader,13.3"" Flexible Screen 16 GB with Built-in Wi-Fi,Bluetooth",,"https://images-na.ssl-images-amazon.com/images/I/5127U2fTMDL._SS40_.jpg","All Electronics","BOOX"
"0303532572","TDK Hi8 MP120 Premium Performance Camcorder Videotape (6-pack)","TDK Hi8 MP120 Premium Performance Camcorder Videotapes (6-pack).","https://images-na.ssl-images-amazon.com/images/I/41n5rOI-c4L._SS40_.jpg","Home Audio &amp; Theater","TDK Electronics Corp"
"0302643370","The Lord of the Rings: Return of the King - Extended Edition","While Frodo &amp; Sam continue to approach Mount Doom to destroy the One Ring, unaware of the path Gollum is leading them, the former Fellowship aid Rohan &amp; Gondor in a great battle in the Pelennor Fields, Minas Tirith and the Black Gates as Sauron wages his last war against Middle-Earth.","https://images-na.ssl-images-amazon.com/images/I/311uH05B1iL._SS40_.jpg","Home Audio &amp; Theater","WB"
"0310810515","Linen-Look Pattern Black LG","Featuring a linen-look fabric construction, exterior pockets with decorative zipper pulls, this classic book and Bible cover will fit the Zondervan NIV Study Bible, Aspire: the Study Bible for Women of Color, the Women of Faith Study Bible as well as many other books and Bible up to 6 5/8"" x 9 1/2"" (241mm x 168mm).",,"Books","Visit Amazon's Zondervan Page"
"0312171048","The Angel Doll: A Christmas Story","YA?Life in Thomasville, NC, in the 1950s is not easy for 10-year-old Whitey Black. He is new to town, with no father, a perpetually weary mother, and a four-year-old sister, Sandy, who has polio. Sandy's greatest pleasure is for Whitey to read to her The Littlest Angel and, more than anything else, she wants an ""Angel"" doll for Christmas, just like the one in the story. Whitey, his hard-won friend (the narrator of the story), and other members of the small community work together to give the child her wish. It is the story of their efforts and the results that are the basis of this Christmas tale. Told matter-of-factly, the story is evocative of a time and a place, and has great appeal to readers of all ages.?Pamela B. Rearden, Centreville Regional Library, Fairfax County, VA<br />Copyright 1998 Reed Business Information, Inc.",,"Books","Visit Amazon's Jerry Bledsoe Page"
"0312331363","Scared Money","Edgar-finalist Hime's overly complicated sequel to his well-received <I>The Night of the Dance</I> (2003) pits ex-Texas Ranger Jeremiah Spur and black Deputy Sheriff Clyde Thomas against competing drug cartels in racially charged Brenham, Tex. In separate plots that fill more than 70 mini-chapters, Thomas investigates a drug-related double murder while Spur searches for Edwin ""Dusty"" Nelson, an accountant who may have absconded with $10 million from Benjamin Farkas, a Hungarian refugee and local real estate tycoon haunted by flashbacks of the Soviet invasion of his homeland nearly 50 years earlier. Vengeance, greed and fear drive characters through myriad scene changes from rural Texas to Mexico City to Vienna, and ""scared money"" becomes a metaphor for those on the lam, pursued for the wealth that cocaine and heroin peddling can bring in the dreary ethnic neighborhoods of the Southwest. After numerous police meetings, the pieces finally begin to fit together as Spur and Thomas join forces to work on what prove to be overlapping cases. This searing tale ends on a hopeful note, but not before lots of blood has been spilled on two continents. <BR>Copyright &copy; Reed Business Information, a division of Reed Elsevier Inc. All rights reserved.",,"Books","James Hime"
"0312364415","A Stranger Lies There","In Santogrossi's engrossing, dark debut (winner of the St. Martin's Press/Malice Domestic contest for Best First Traditional Mystery Novel), the curiously endearing protagonist, Tim Ryder, wakes up one morning to find a dead body on his Palm Springs, Calif., lawn. Ryder, a carpenter, wonders if the murder is connected to testimony he gave against a co-conspirator in a criminal case 30 years earlier, when he did time for a bungled robbery, a misguided attempt to raise money for antiVietnam War protests. With the next current-day casualty, the matter becomes more urgent, and even more personal, and Tim is determined to find the killer. On occasion, Santogrossi veers off into preachy description, breaking the cardinal show-don't-tell rule, but his well-drawn characters, unexpected resolution and sharp casual insights make for an energizing read. <i>(May)</i> <br />Copyright  Reed Business Information, a division of Reed Elsevier Inc. All rights reserved.",,"Books","Visit Amazon's Stephen Santogrossi Page"
"0312993064","Never Tell","",,"Books","Visit Amazon's Selena Montgomery Page"
"0314185550","BARBRI First Year Review 2008 Edition (F 08 S 09)","Contains sections on Civil Procedure, Constitutional Law, Contracts, Criminal Law, Personal Property, Real Property, Torts, Chart Supplement, Review Questions and Answers. Several hundred pages numbered by section.",,"Books","BAR/BRI"
"0321732944","Kelby Training DVD: Adobe Photoshop CS5 Crash Course By Matt Kloskowski","DVD","https://images-na.ssl-images-amazon.com/images/I/31uogm6YcrL._SS40_.jpg","Computers","Kelby Training"
"0373250460","You Have to Kiss a Lot of Frogs","Disguised as yet another chick-lit novel about disastrous dating, this book moves beyond genre constraints to offer a provocative and intelligent look at the ways that people search for a meaningful life. Cleverly titled chapters such as ""Weight Listed"" and ""A Clue in Time Saves Nine"" describe actress Karrie Kline's dating adventures, but there's a continuity in her narration that makes this novel more than the sum of its parts. Several themes recur throughout, including Karrie's admiration for her mother and stepfather's marriage and her relationship to Judaism, and though romance may come hard to Karrie, her love for New York City is constant, even when she briefly expatriates to Los Angeles. While Karrie's dates are truly hilarious-like the man who wears the same outfit every day, and the man who barks like a dog to show affection-there's also a sense of poignancy as Kerrie truly attempts to give each man his due. Her dates wind through the decades, tracing history as they do, and what's left when the laughter dies down is a normal woman looking for a normal type of happiness, but one who passes by her lucky break like a ship in the night. Those expecting a light and fluffy confection will likely be pleasantly surprised by this more substantive fare. <br />Copyright  Reed Business Information, a division of Reed Elsevier Inc. All rights reserved.",,"Books","Visit Amazon's Laurie Graff Page"
"0375503757","What She Saw...: A Novel","Sometimes in a moment of limbo or confusion, it's advisable to make a list. An inventory of accomplishments, a chart of pros and cons. Lucinda Rosenfeld's first novel takes as its form a list of past boyfriends. Each section finishes the sentence begun in its title, <i>What She Saw...</i> in ""Roger Mancuso, or 'The Stink Bomb King of Fifth Grade.'"" Later, in college, it's ""Humphrey Fung, or 'The Anarchist Feminist.'"" The book's shape and humor come from the gathering logic of this catalog, how our heroine is repeatedly fooled by the illusions of lust, always looking for something new, someone who can eclipse the failed romances of the past.",,"Books","Visit Amazon's Lucinda Rosenfeld Page"
"0375505458","A Collection of Beauties at the Height of Their Popularity: A Novel","Set in San Francisco in the 1980s, <i>A Collection of Beauties at the Height of Their Popularity</i> is a novel of late youth--the final indulgences and excesses of a group of friends before paths are chosen, before character is set. Whitney Otto (<i><a href=""/exec/obidos/ASIN/0345370805/${0}"">How to Make an American Quilt</a></i>) takes as her inspiration the floating world depicted in Japanese prints of the Edo period. Her characters, most of them denizens of the Youki Singe Tea Room in North Beach, live in the moment. They are unambitious, minimally employed, well-educated, and self-indulgent. Dreamers of various kinds, the women (who have artful names like Jelly, Coco, Gracie, and Theo) are passionate about their friendships, their parties, and their appearance. The narrative is as fluid as the characters, sometimes delivering a perfectly formed short story about a minor figure, and other times tracing back to explain a pivotal high school incident. Readers who give themselves over to this flowing story line, and to the shifting array of characters, will find this a rewarding and oddly moving novel. <i>A Collection of Beauties</i> perfectly evokes a particular mood of watchfulness, as its characters wait for their world to form around them. <i>--Regina Marler</i>",,"Books","Visit Amazon's Whitney Otto Page"
"0380709473","Crows Can't Count","Yet another complex whodunit starring Donald Lamb, the pint-sized detective with the big brain and his outsized, money-loving business partner Bertha Cool. Beginning with an innocuous inquiry into a hocked pendent, the pace picks up fairly fast with an unexpected murder, the mysterious appearance of dazzling precious gems, and of all the unusual characters, a pet crow with a penchant for glittering objects. In almost Bond style, the scene shifts to Colombia with its twisting mountain roads, steamy jungles, gold and gem mines, and an inscrutable and menacing police chief. Unraveling tortuous plots is Donalds specialty, and this one is no different. An exciting read, and for those used to Earle Stanley Gardeners Perry Mason with his perspicacity and trained legal mind, Gardner in his A.A. Fair avatar, sketches his protagonist Donald Lamb very differently. Also trained as a lawyer and no less sharp-witted than Mason, yet a total contrast.",,"Books","Erle Stanley Gardner"
"0380812916","Tokyo Suckerpunch : A Billy Chaka Adventure","This pop romp through the Tokyo of martial arts, yakuza and legendary geishas has more sly smarts than a Hong Kong gangster shoot-'em-up. First-time novelist Adamson hooks the reader with fast action, clever dialogue and all-over atmosphere, while complicating the plot mightily and implausibly. Billy Chaka is a popular columnist for the Cleveland mag Youth in Asia. He's come to Tokyo to cover the 19 and Under Handicapped International Martial Arts Championship. While Chaka is waiting in a bar for the arrival of his old friend filmmaker Sato Migusho, an apparently drunken woman enters and rushes for the ladies' room. Immediately recognizing her as a geisha in disguise, on the lam from disgruntled clients, ChakaDwho has a weakness for geishasDhelps her escape and handles the tough guys with some dandy kickboxing moves. After Chaka learns that Sato has died in a seemingly accidental fire at his secret luxury hideout, the Garden of Earthly Delights, he ducks his reporterly duties and sets out to find the geisha. While on this quest, underwritten by a yakuza leader named Kwaidan and an unnamed religious cult, Chaka keeps stumbling over imponderables in the Sato case, including the news that Sato was about to film an unauthorized version of Chaka's own life, entitled Tokyo Suckerpunch. This novel is all speed and no depth, but that's forgivable in a narration that detours around such marvelous (and doubtful) Japanese pop esoterica as current fashions in Japanese motorcycle gangs and the tape-recorded politesse of Japanese vending machines. (Nov.) <br />Copyright 2000 Reed Business Information, Inc.",,"Books","Visit Amazon's Isaac Adamson Page"
"0385132697","The Far Ends of Time and Earth (The Collected Fiction of Isaac Asimov ; V. 1)","1979 Doubleday and Co. Volume 1. The Collected Fiction of Isaac Asimov. Hardcover with dust jacket. Book Club Edition.",,"Books","Visit Amazon's Isaac Asimov Page"
"0385671539","Natural Order","Good, sharp, vivid writing.... When he hits the emotional high notes, Francis never wavers. In fact, if you value your dignity, I implore you not to read the final sixty pages in a public place: You will cry, hard, probably more than once. <br /><i>The Globe and Mail</i><br /><br /><b>Natural Order</b> is structurally complex, highly readable, and poses interesting questions about generational change and the divide between small-town and big city lifestyles. . . . Illuminating and moving. <br /><i>Quill &amp; Quire<br /></i><br />A remarkably honest and uniquely Canadian book. . . . and an emotional story skillfully drawn. <br /><i>Fashion</i> (Zoe Whittall)<br /><br />(Brian Franciss) prose kept reminding me of Alice Munro, not only in its unfussy precision, but in its constant refusal of easy sentimentality. . . . Very affecting. <br /><i>National Post</i> (Scott MacDonald)<br /><br />Good, sharp, vivid writing . . . when he hits the emotional high notes, Francis never wavers. In fact, if you value your dignity, I implore you not to read the final 60 pages in a public place: You will cry, hard, probably more than once. <br /><i>The Globe and Mail<br /></i><br />In this at once sad and uplifting story, Francis inhabits the mind of an elderly woman episodically remembering her life and coping with her sons sexuality and early death. . . . The novel is smart enough to complicate Joyces dilemmas by addressing not just the constraints of small-town society in the 50s and 60s, but also the issues facing seniors today. In a quietly political gesture, Francis makes a compelling commentary on the way seniors are treated in our society. <br /><i>Xtra</i><br /><br />Wonderful.... Francis nails every detail of a small-town mothers love. <br /><i></i>Kathleen Winter, author of <b>Annabel</b><br /><br />Beautifully written, as affecting as it is convincing. At once funny, touching and fearless, the delicate strands woven between mothers and sons are powerful.<br /><i></i>Anthony De Sa, author of <b>Barnacle Love</b><br /><br />We need more books like this one: alive with a singular pulse, cheeky, honest, achingly tender. This book will syncopate your heart. Brian Francis reminds us to live, and love, bravely. I am still catching my breath. <br /><i></i>Jessica Grant, author of <b>Come, Thou Tortoise</b><br /><br />An extraordinary read. Francis is a master at creating vivid characters. Joyce Sparks is unforgettable. Her touching life story will leave you both hopeful and wiser. <br /><i></i>Neil Smith, author of<b>Bang Crunch</b><br /><br />In <b>Natural Order</b>, Brian Francis gets it allthe sharp, to-the-bone wit of people with no time left to waste, plus compassion for difficult characters who, out of love, misunderstanding and fear, have made each others lives harder to bear. A feat ofhumaneliterary empathy. <br />Joan Barfoot, author of <b>Exit Lines<br /></b><br />""Honest, tender and mesmerizing,Brian Francis' <b>Natural Order</b> is a must-read."" <br />Ami McKay, author of <b>The Birth House<br /></b><br />I was much moved by <b>Natural Order</b>.... Here is a writer of quality, a storyteller with a deep sensitivity that challenges and enriches his readers.""<br />Wayson Choy, author of <b>Not Yet<br /></b>",,"Books","Brian Francis"
"0385666535","Incidents in the Life of Markus Paul","LONGLISTED - 2013 International IMPAC Dublin Literary Award <br /><br /><b>Incidents in the Life of Markus Paul</b>. . . .finds David Adams Richards at the top of his game. . . . [the novel] unfolds with the weight and significance of an Old Testament story, anchored by a narrative voice that is at once prophetic and detached, rooted in a strongly oral storytelling tradition. . . . It is not a subtle approach; its a deceptively complicated one, and tremendously effective. The novel sparks with an immediacy and power that is rare to find in contemporary fiction: these are old questions and timeless concerns given face and voice by one of Canadas finest writers. <br />Robert J. Wiersema, <i>Victoria Times-Colonist</i> <br /><br />David Adams Richards 14th novel brilliantly scours the conscience of a community. . . . [He] moves deftly between the multiple voices and points of view . . . [and] never fails to capture the right details to a scene. . . . That Richards can consistently bring such potentially mawkish figures to vivid life is just one reason to keep reading him. <br /><i>Quill &amp; Quire </i>(starred review)<br /><br />In a stark, stunning and profound new novel, New Brunswicks David Adams Richards (<b>Mercy Among the Children</b><i>, </i><b>Nights Below Station Street</b>) exposes Canadas rawest nerve. . . . the construction of this novel is brilliantly conceived, and flawlessly executed. This is Richards at the height of his powers, which is very high indeed. The word masterpiece is not too strong. <br /><i>National Post</i> (Donna Bailey Nurse) <br /><br />In his masterful new novel, David Adams Richards shows why it matters who explains the complicated relationships between whites and Natives in his beloved Miramichi. . . . <b>Incidents in the Life of Markus Paul </b>is remarkable for a tightly woven, multi-layered plot and the minute detailing of a way of life that is disappearing in New Brunswick. <br /><i>National Post</i> (John Racovali) <br /><br />[<b>Incidents in the Life of</b>] <b>Markus Paul</b> is a solid offering with timely insight from one of Canadas most acclaimed storytellers. <br /><i>Winnipeg Free Press</i><br /><i></i><br />. . . the searing emotion and stirring probity we have come to expect of an author fighting to stave off anachronisms claim to right and wrong, good and evil. . . . the characters themselves, who could have been frozen into moral archetypes . . . attain a welcome level of complexity. . . . Richardss larger picture includes a moral lesson at once topical and timeless. <br /><i>The Globe and Mail</i><br /><i></i><br />Delving into race, politics, corruption, police work, media and the power of public opinion, the novel is a superb rendering of our propensity to confuse charisma with wisdom and judgment with justice. <br /><i>London Free Press<br /></i><br />David Adams Richards' latest thrills with small-town suspense and mystery. . . . <b>Incidents in the Life of Markus Paul</b> is a page-turning thriller delivered by Richards in his finest form yet. The who, why and hows surrounding Hector's death, and the deaths that follow, pile up like pulp logs that drop on the reader's head in a series of stunning surprises. <br /><i>Telegraph-Journal</i>",,"Books","Visit Amazon's David Adams Richards Page"
"0441865704","Viriconium nights",,,"Books","Visit Amazon's M. John Harrison Page"
"0446576476","Plenty Good Room","The protagonist of this debut novel is Tamara Britton, a reserved, devoted child welfare worker. The 30-something's quiet, tidy life is turned upside-down when her boss asks her to temporarily take in a foul-mouthed teen runaway named Sienna. During this stint as a foster mom, Tamara has to supervise homework, discuss teenage sexuality and wade into the murky world of pop culture. She is also motivated to put together some of the pieces of her own interrupted childhood and travels to prisons and hospitals in search of birth parents she never knew. Edwards richly develops the novel's characters, especially those who play supporting parts. Tamara's outrageous friend and colleague, Lynette, is a hoot, and Lynette and Tamara's sharply dressed but racist boss is well drawn. Still, the novel is far from perfect. The two plotsTamara and Sienna's relationship, and Tamara's own childhoodtie together at the end, but the connections require coincidences that strain credulity. The stock features of CBA fiction are all predictably there: Tamara, who has never dated, is suddenly wooed by two fine men. And she not only finds love but also her faithat a church altar call. This contribution to the flourishing field of African-American Christian fiction is promising, though it also suffers from first-timer flaws. <i>(Apr. 20)</i> <br />Copyright  Reed Business Information, a division of Reed Elsevier Inc. All rights reserved.",,"Books","Visit Amazon's Cheri Paris Edwards Page"
"0446697192","Hollywood Is like High School with Money","Dean delivers another pop artifact in her latest riff on the <i>Gossip Girl</i> generation, this time dressing up the goings-on with a very <i>Devil Wears Prada</i> vibe. Landing a job as second assistant to Iris Whitaker, a Metronome Studios hotshot, sounds like a dream come true for Ohio native Taylor Henning, who naturally wants to make it big in Hollywood. But this fish out of water needs to learn quickly how to swim with the sharks, as Iris's first assistant, Kylie Arthur, would prefer she drowns. Thankfully, a fairy godmother appears in the fierce form of Quinn, Iris's 16-year-old daughter, who suggests Taylor follow her surefire high school rules: fake it till you make it; speak up in class; make one cool friend; and realize lunch is a battleground. But there are unforeseen consequences for Taylor, who remembers some age-old advice just in time. It's a slick little novel: catty, glitzy and just mean enough. <i>(July)</i> <br />Copyright  Reed Business Information, a division of Reed Elsevier Inc. All rights reserved.",,"Books","Visit Amazon's Zoey Dean Page"
"045122261X","In the Blood (The Darkwing Chronicles, Book 4)","",,"Books","Visit Amazon's Savannah Russe Page"
"0528013475","Rand McNally RV Tablet 80","Award-winning navigation and features of Rand McNally's RV GPS devices, plus an Android operating system","https://images-na.ssl-images-amazon.com/images/I/41hmgJ1GGZL._SS40_.jpg","All Electronics","Rand McNally"
"0528012398","Rand McNally Road Explorer 60 GPS","The Road Explorer  60 pairs award-winning navigation and advanced, commercial-grade features from the leader in truck and RV GPS, all easily visible on a large 6 screen. Included toll costs and advanced lane guidance.","https://images-na.ssl-images-amazon.com/images/I/41FWetMBbML._SS40_.jpg","All Electronics","Rand McNally"
"0528881469","Rand McNally 528881469 7-inch Intelliroute TND 700 Truck GPS","**** Shipped by 2-3 DAY UNITED STATES PRIORITY MAIL *** SAME OR NEXT DAY SHIPPING !! SAME OR NEXT DAY SHIPPING !! This 700 Intelliroute GPS has been Checked, Tested and deemed to be in Excellent working order when shipped. ACCESSORIES INCLUDED WITH Rand McNally 700 TND Itelliroute GPS INCLUDES: WINDOW MOUNT,CAR/TRUCK CHARGER, and USB Cable. Item may show some normal wear on case/screen; However, this does not affect the functionality of the GPS Unit. "" SATISFACTION GUARANTEED "" "" SATISFACTION GUARANTEED "" Upon Receipt of your GPS please check it immediately and make sure it is in proper working condition. The Insurance from the shipper is only good for seven (7) days, and it is important to make sure your GPS arrives just as it leaves us. If you encounter a problem with this GPS I have others that I will Replace it with. Comes with Amazon standard Return/Refund policy, Buyer pays return shipping on Returns or Refunds. SAME OR NEXT DAY SHIPPING !! SAME OR NEXT DAY SHIPPING !! **** Shipped by 2-3 DAY UNITED STATES PRIORITY MAIL ***","https://images-na.ssl-images-amazon.com/images/I/41zy99-KivL._SS40_.jpg","All Electronics","Rand McNally"
"0545105668","Elephant Run","Unusual book",,"Books","Visit Amazon's Roland Smith Page"
"0545205719","Microsoft MultiMedia Keyboard 1.0A KB-0168","Microsoft MultiMedia Keyboard 1.0A KB-0168","https://images-na.ssl-images-amazon.com/images/I/61MkNN2cHEL._SS40_.jpg","Computers","Microsoft"
"0545811295","I Survived 10 Book Library",,"https://images-na.ssl-images-amazon.com/images/I/41PUpX-Gq8L._SS40_.jpg","Home Audio &amp; Theater",""
"0553279041","UNICORN MOUNTAIN","",,"Books","Visit Amazon's Michael Bishop Page"
"0557348153","Knighthorse","<span>J.R. Rain is an ex-private investigator who now writes full-time in the Pacific Northwest. He is the author of over sixty novels and forty short stories. Please visit him at: jrrain.com.</span>",,"Books","Visit Amazon's J.R. Rain Page"
"0557689759","Lamb of God: New American Gospel","",,"Books","Chris Adler"
"0558835155","Polaroid Pbm2200 PC / Gaming Stereo Headphones With Microphone &amp; In-line Volume","Use these high quality headphones for internet chatting and enjoy the comfort and ease of the headphones with the microphone and in-line volume control.Works with: Skype msn AIM YAHOO! Windows Live","https://images-na.ssl-images-amazon.com/images/I/21rEirndRLL._SS40_.jpg","All Electronics","Polaroid"
"0575075996","The Runes of the Earth : The Last Chronicles of Thomas Covenant","In 1977, Stephen Donaldson changed the face of epic fantasy. With the publication of THE CHRONICLES OF THOMAS COVENANT THE UNBELIEVER, Donaldson created a true phenomenon: an epic fantasy instant bestseller that has gone on to sell millions. The 'hero', Thomas Covenant, is mysteriously struck down with a disease believed eradicated; he is abandoned by his wife and young son and becomes a pariah. Alone and despairing, Covenant falls - and is drawn into a mysterious new world, where gentle people work magic and the earth itself brings healing. He is welcomed as the reincarnation of a legendary saviour, but Covenant refuses to believe; he's convinced he's having delusions. At the end of the sixth book, as Covenant battles to save the world, he is killed - in both worlds - as Dr Linden Avery, his horrified companion, looks on. Now comes the book every fantasy reader has been waiting for. It's ten years later, and Linden Avery thought she would never see the Land, or Covenant, her beloved, again. But Lord Foul has stolen her adopted son, and is unmaking the very laws of nature. And though she believes Covenant dead, he keeps sending Linden messages: 'Find me', and 'You're the only one who can do this' and 'Remember that I'm dead'. The Land is in turmoil, and Lord Foul has plans for them all ...",,"Books","Stephen Donaldson"
"0575074205","Fat (Gollancz)","Rob Grant's new novel is a revelation. After INCOMPETENCE we would all have expected a killingly funny satire. And in its satire of our obsession with body image, of how the media makes us what we are FAT is certainly that. But in its depiction of Grenville, a fat man at his wits end with the need to be thin; of Hayleigh, a teenage girl obsessed with her terror of being fat and of Jeremy, the self-absorbed, self-adoring 'conceptualist' employed to promote the government's new 'Fat Farms' Rob Grant has given us, yes a very, very funny book, but also an immensely moving and personal novel about how we all feel about our bodies. As Grenville deals with the humilation and daily indignity of being fat, as Hayleigh struggles to deal with her anorexia and as Jeremy comes to terms with the dangerous lies at the centre of the government's new health regime FAT takes us on a hilarious and thought-provoking journey through our all-consuming obession with fat. This is a hilariously moving, movingly hilarious novel and marks a massive step-change in Rob Grant's growth as a writer. Here is a hugely commerical new voice in mainstream, high concept, high in poly-saturates, commercial fiction. It's also safe to say that with this new novel, he's writing about what he knows ...",,"Books","Visit Amazon's Rob Grant Page"
"0578030500","Running in the Rain",,,"Books","Ronda Burke"
